Locality,Date of Action,Rate Adopted ($/MW),Status,Solar Storage or Both?,Ordinance,Other Relevant Links/Notes
Suffolk City,4/7/2021,"$1,400 ",Revenue Share,Solar,https://library.municode.com/VA/Suffolk/codes/Code_of_Ordinances?nodeId=PTIICO_CH82TA_ARTXXIISORESHSOENPR,
Surry County,N/A,N/A,Default M&T,,,
Sussex County,4/3/2023,N/A,Chose M&T,,,https://www.sussexcountyva.gov/uploads/docs/PACKET%20PC-BOS-Joint-Meeting-09-13-2021.pdf
Tazewell County,N/A,N/A,Default M&T,,,
Warren County,N/A,N/A,Default M&T,,,
Washington County,N/A,N/A,Default M&T,,,
Westmoreland County,1/11/2021,"$1,400 ",Revenue Share,Solar,https://library.municode.com/va/westmoreland_county/codes/code_of_ordinances?nodeId=CD_ORDPAIGEOR_CH46TA_ARTXVRESHSOENPR,
Wise County,10/14/2021,"$1,400 ",Revenue Share,Solar,https://www.wisecounty.org/DocumentCenter/View/519/Ordinance-SOLAR-ENERGY-Revenue-Share-2021-PDF?bidId=,https://www.wisecounty.org/AgendaCenter/ViewFile/Minutes/_10142021-261
Wythe County,9/13/2022,"$1,400 ",Revenue Share,Solar,http://www.wytheco.org/index.php/resources/sample-1/send/2-ordinances/845-solar-energy-project-revenue-share-ord-2022-3,
York County,N/A,N/A,Default M&T,,,
